Ticket,Symbol,Type,Trading Volume (in Lots),Open Time,Open Price,Close Time,Close Price,Swaps,Commission,Profit,Comment
177619134,AUDCAD.c,sell,12.6,5/7/2026 9:45,0.98867,5/8/2026 1:02,0.98466,-78.92,0,"3,698.83","copy #50000005, 177619085"
177584469,AUDCAD.c,sell,10.8,5/6/2026 12:45,0.98628,5/8/2026 1:02,0.98466,-271.05,0,"1,280.82","copy #50000005, 177584372"
177569069,AUDCAD.c,sell,9,5/6/2026 6:45,0.98415,5/8/2026 1:02,0.98466,-225.88,0,-336.01,"copy #50000005, 177569042"
177562648,AUDCAD.c,sell,7.2,5/6/2026 4:00,0.98195,5/8/2026 1:02,0.98465,-180.71,0,"-1,423.14","copy #50000005, 177562582"
177558826,AUDCAD.c,sell,5.4,5/6/2026 2:15,0.97981,5/8/2026 1:02,0.98465,-135.53,0,"-1,913.34","copy #50000005, 177558756"
177543366,AUDCAD.c,sell,3.6,5/5/2026 15:30,0.97758,5/8/2026 1:02,0.98465,-111.81,0,"-1,863.26","copy #50000005, 177543298"
177535916,AUDCAD.c,sell,0.15,5/5/2026 11:30,0.97469,5/8/2026 1:02,0.9845,-4.66,0,-107.73,"copy #50000005, 177535870"
177529881,AUDCAD.c,buy,3.6,5/5/2026 8:30,0.97382,5/5/2026 11:15,0.97454,0,0,190.33,"copy #50000005, 177529844"
177521526,,balance,,,,5/5/2026 0:18,,0,,-53.93,fee #23760081
177513546,AUDCAD.c,buy,0.15,5/4/2026 18:45,0.97575,5/5/2026 11:15,0.97456,0.17,0,-13.11,"copy #50000005, 177513522"
177502751,AUDCAD.c,sell,0.15,5/4/2026 15:30,0.97827,5/4/2026 18:30,0.97647,0,0,19.85,"copy #50000005, 177502658"
177495148,AUDCAD.c,buy,3.6,5/4/2026 13:15,0.9767,5/4/2026 13:45,0.97764,0,0,248.72,"copy #50000005, 177495081"
177486103,AUDCAD.c,buy,0.15,5/4/2026 10:00,0.97884,5/4/2026 13:45,0.97765,0,0,-13.12,"copy #50000005, 177486022"
177479707,AUDCAD.c,sell,0.15,5/4/2026 7:00,0.97985,5/4/2026 9:45,0.97887,0,0,10.82,"copy #50000005, 177479565"
177468413,,balance,,,,5/3/2026 15:50,,0,,"-10,000.00",wbu 7999439
177429995,,balance,,,,5/1/2026 0:18,,0,,-101.45,fee #23757139
177371552,AUDCAD.c,buy,4.8,4/29/2026 21:15,0.97366,4/30/2026 13:00,0.97601,16.05,0,825.48,"copy #50000005, 177371493"
177364683,AUDCAD.c,buy,3.6,4/29/2026 18:15,0.97607,4/30/2026 13:00,0.97596,12.04,0,-28.98,"copy #50000005, 177364601"
177357977,AUDCAD.c,buy,2.4,4/29/2026 16:30,0.97842,4/30/2026 13:00,0.97586,8.02,0,-449.62,"copy #50000005, 177357905"
177333798,AUDCAD.c,buy,0.1,4/29/2026 5:45,0.98037,4/30/2026 13:00,0.97601,0.33,0,-31.91,"copy #50000005, 177333703"
177328676,AUDCAD.c,sell,3.6,4/29/2026 3:45,0.98315,4/29/2026 4:45,0.9819,0,0,328.98,"copy #50000005, 177328615"
177320625,AUDCAD.c,sell,2.4,4/28/2026 18:00,0.98105,4/29/2026 4:45,0.9819,-15.17,0,-149.13,"copy #50000005, 177320575"
177296438,AUDCAD.c,sell,0.1,4/28/2026 11:00,0.97887,4/29/2026 4:45,0.9819,-0.63,0,-22.16,"copy #50000005, 177296379"
177273582,,balance,,,,4/28/2026 0:19,,0,,-9.98,fee #23754249
177272332,AUDCAD.c,sell,0.1,4/27/2026 22:30,0.97937,4/28/2026 10:00,0.97777,-0.63,0,11.73,"copy #50000005, 177272285"
177247174,AUDCAD.c,buy,0.1,4/27/2026 9:15,0.97846,4/27/2026 22:15,0.97933,0,0,6.39,"copy #50000005, 177247127"
177240079,AUDCAD.c,sell,2.4,4/27/2026 5:45,0.97966,4/27/2026 9:00,0.97933,0,0,57.97,"copy #50000005, 177240052"
177233605,AUDCAD.c,sell,0.1,4/27/2026 3:45,0.97759,4/27/2026 9:00,0.97918,0,0,-11.64,"copy #50000005, 177233561"
177228653,,balance,,,,4/25/2026 0:18,,0,,-6.22,fee #23752748
177224755,AUDCAD.c,sell,0.1,4/24/2026 19:00,0.97798,4/24/2026 21:30,0.97718,0,0,5.85,"copy #50000005, 177224665"
177215368,AUDCAD.c,buy,0.1,4/24/2026 16:00,0.97639,4/24/2026 17:15,0.97731,0,0,6.72,"copy #50000005, 177215348"
177179684,,balance,,,,4/24/2026 0:19,,0,,-36.55,fee #23751721
177171168,AUDCAD.c,buy,0.1,4/23/2026 20:30,0.97757,4/24/2026 14:30,0.97865,0.13,0,7.89,"copy #50000005, 177171066"
177164718,AUDCAD.c,sell,2.4,4/23/2026 17:45,0.97895,4/23/2026 20:15,0.97789,0,0,185.63,"copy #50000005, 177164687"
177157089,AUDCAD.c,sell,0.1,4/23/2026 15:00,0.97693,4/23/2026 20:15,0.97784,0,0,-6.64,"copy #50000005, 177157014"
177136662,AUDCAD.c,sell,0.1,4/23/2026 8:00,0.97696,4/23/2026 13:45,0.97601,0,0,6.95,"copy #50000005, 177136617"
177078828,AUDCAD.c,sell,0.1,4/22/2026 3:15,0.97763,4/23/2026 6:33,0.97637,-1.9,0,9.22,"copy #50000005, 177078796"
177075449,,balance,,,,4/22/2026 0:18,,0,,-11.16,fee #23750279
177072181,AUDCAD.c,buy,0.1,4/21/2026 22:45,0.97539,4/21/2026 23:15,0.97725,0,0,13.61,"copy #50000005, 177072144"
177062574,AUDCAD.c,buy,0.1,4/21/2026 20:00,0.97684,4/21/2026 22:30,0.97789,0,0,7.68,"copy #50000005, 177062543"
177050628,AUDCAD.c,sell,0.1,4/21/2026 17:00,0.97841,4/21/2026 18:45,0.97727,0,0,8.35,"copy #50000005, 177050552"
177043698,AUDCAD.c,sell,0.1,4/21/2026 15:00,0.97826,4/21/2026 15:45,0.97746,0,0,5.86,"copy #50000005, 177043663"
177036127,AUDCAD.c,buy,0.1,4/21/2026 11:00,0.9769,4/21/2026 14:30,0.97793,0,0,7.54,"copy #50000005, 177036010"
177016966,,balance,,,,4/21/2026 0:22,,0,,-175.43,fee #23748912
176973545,AUDCAD.c,sell,0.1,4/20/2026 4:00,0.97898,4/21/2026 9:15,0.97788,-0.66,0,8.06,"copy #50000005, 176973509"
176964164,AUDCAD.c,buy,4.8,4/20/2026 1:00,0.976,4/20/2026 1:45,0.97854,0,0,889.3,"copy #50000005, 176964087"
176963860,AUDCAD.c,buy,3.6,4/20/2026 0:24,0.97712,4/20/2026 1:45,0.97854,0,0,372.88,"copy #50000005, 176963840"
176961893,AUDCAD.c,buy,2.4,4/17/2026 23:45,0.9812,4/20/2026 1:45,0.97855,6.06,0,-463.9,"copy #50000005, 176961850"
176954008,AUDCAD.c,buy,0.1,4/17/2026 18:30,0.98309,4/20/2026 1:45,0.97872,0.25,0,-31.87,"copy #50000005, 176953937"
176962650,,balance,,,,4/18/2026 0:18,,0,,-33.06,fee #23745962
176935295,AUDCAD.c,sell,2.4,4/17/2026 16:00,0.98491,4/17/2026 18:15,0.98329,0,0,284.53,"copy #50000005, 176935269"
176917541,AUDCAD.c,sell,0.1,4/17/2026 11:00,0.98117,4/17/2026 18:15,0.98327,0,0,-15.37,"copy #50000005, 176917499"
176894874,AUDCAD.c,sell,0.1,4/17/2026 2:30,0.98124,4/17/2026 10:00,0.98043,0,0,5.92,"copy #50000005, 176894843"
176893549,,balance,,,,4/17/2026 0:18,,0,,-99.74,fee #23744830
176889713,AUDCAD.c,buy,2.4,4/16/2026 20:15,0.98051,4/16/2026 23:00,0.98114,0,0,110.32,"copy #50000005, 176889663"
176881246,AUDCAD.c,buy,0.1,4/16/2026 18:00,0.98242,4/16/2026 23:00,0.98116,0,0,-9.19,"copy #50000005, 176881161"
176840961,AUDCAD.c,sell,4.8,4/16/2026 5:15,0.98513,4/16/2026 17:30,0.98282,0,0,808.99,"copy #50000005, 176840929"
176782218,AUDCAD.c,sell,3.6,4/15/2026 8:15,0.98311,4/16/2026 17:30,0.98298,-70.72,0,34.15,"copy #50000005, 176782193"
176740856,AUDCAD.c,sell,2.4,4/14/2026 16:45,0.98073,4/16/2026 17:30,0.983,-63.4,0,-397.49,"copy #50000005, 176740800"
176725326,AUDCAD.c,sell,0.1,4/14/2026 12:45,0.97863,4/16/2026 17:30,0.98283,-2.64,0,-30.65,"copy #50000005, 176725300"
176757311,,balance,,,,4/15/2026 0:18,,0,,-13.7,fee #23742643
176703540,AUDCAD.c,buy,0.1,4/14/2026 4:45,0.97667,4/14/2026 11:30,0.97764,0,0,7.04,"copy #50000005, 176703519"
176695500,,balance,,,,4/14/2026 0:19,,0,,-10.86,fee #23741053
176691580,AUDCAD.c,sell,2.4,4/13/2026 21:15,0.97811,4/14/2026 3:45,0.97753,-16.22,0,100.99,"copy #50000005, 176691511"
176686770,AUDCAD.c,sell,0.1,4/13/2026 19:30,0.97611,4/14/2026 3:45,0.97735,-0.68,0,-8.99,"copy #50000005, 176686672"
176670341,AUDCAD.c,buy,0.1,4/13/2026 15:00,0.97431,4/13/2026 17:00,0.97613,0,0,13.16,"copy #50000005, 176670275"
176653295,AUDCAD.c,sell,2.4,4/13/2026 8:30,0.97567,4/13/2026 14:45,0.97495,0,0,124.87,"copy #50000005, 176653254"
176634910,AUDCAD.c,sell,0.1,4/13/2026 1:45,0.97356,4/13/2026 14:45,0.97487,0,0,-9.46,"copy #50000005, 176634874"
176627718,AUDCAD.c,sell,0.06,4/10/2026 23:00,0.979,4/13/2026 1:00,0.97189,-0.4,0,30.76,"copy #50000005, 176627681"
176628804,,balance,,,,4/11/2026 0:18,,0,,-25.22,fee #23738004
176623218,AUDCAD.c,buy,0.06,4/10/2026 19:45,0.9778,4/10/2026 22:00,0.97867,0,0,3.77,"copy #50000005, 176623187"
176617199,AUDCAD.c,sell,0.06,4/10/2026 18:00,0.97947,4/10/2026 19:30,0.97834,0,0,4.91,"copy #50000005, 176617102"
176584504,AUDCAD.c,buy,0.06,4/10/2026 6:00,0.97734,4/10/2026 16:30,0.97839,0,0,4.56,"copy #50000005, 176584459"
176562035,AUDCAD.c,sell,2.16,4/9/2026 19:30,0.97916,4/10/2026 5:30,0.97765,-14.58,0,235.93,"copy #50000005, 176561958"
176557404,AUDCAD.c,sell,1.44,4/9/2026 18:30,0.97641,4/10/2026 5:30,0.97759,-9.72,0,-122.91,"copy #50000005, 176557334"
176536906,AUDCAD.c,sell,0.06,4/9/2026 13:00,0.9742,4/10/2026 5:30,0.97758,-0.4,0,-14.67,"copy #50000005, 176536872"
176532820,AUDCAD.c,buy,1.44,4/9/2026 11:15,0.97325,4/9/2026 12:45,0.97369,0,0,45.73,"copy #50000005, 176532778"
176504584,AUDCAD.c,buy,0.06,4/9/2026 3:00,0.97509,4/9/2026 12:45,0.97384,0,0,-5.42,"copy #50000005, 176504562"
176500289,,balance,,,,4/9/2026 0:18,,0,,-20.92,fee #23735545
176411198,AUDCAD.c,sell,2.88,4/8/2026 2:15,0.97833,4/8/2026 22:05,0.97474,0,0,746.09,"copy #50000005, 176411148"
176405235,AUDCAD.c,sell,2.16,4/8/2026 1:45,0.9751,4/8/2026 22:05,0.97476,0,0,52.99,"copy #50000005, 176405211"
176394862,AUDCAD.c,sell,1.44,4/7/2026 23:00,0.96829,4/8/2026 22:05,0.97459,-8.56,0,-654.65,"copy #50000005, 176394765"
176347864,AUDCAD.c,sell,0.06,4/7/2026 11:30,0.96486,4/8/2026 22:05,0.97457,-0.36,0,-42.04,"copy #50000005, 176347767"
176313868,,balance,,,,4/7/2026 0:18,,0,,-14.53,fee #23733275
176304437,AUDCAD.c,buy,0.06,4/6/2026 18:15,0.96277,4/7/2026 11:15,0.9642,0.13,0,6.17,"copy #50000005, 176304375"
176280668,AUDCAD.c,sell,1.44,4/6/2026 11:00,0.96432,4/6/2026 16:15,0.96355,0,0,79.74,"copy #50000005, 176280634"
176260477,AUDCAD.c,sell,0.06,4/6/2026 4:45,0.96186,4/6/2026 16:15,0.96352,0,0,-7.16,"copy #50000005, 176260443"
176243522,AUDCAD.c,buy,0.06,4/3/2026 22:15,0.96085,4/6/2026 4:30,0.96182,0.13,0,4.18,"copy #50000005, 176243501"
176244119,,balance,,,,4/4/2026 0:18,,0,,-9.3,fee #23731605
176240381,AUDCAD.c,sell,0.06,4/3/2026 3:15,0.96193,4/3/2026 18:45,0.96108,0,0,3.66,"copy #50000005, 176240291"
176239628,,balance,,,,4/3/2026 0:18,,0,,-5.33,fee #23730377
176223323,AUDCAD.c,sell,1.44,4/2/2026 17:45,0.96156,4/3/2026 1:02,0.96202,-8.54,0,-47.6,"copy #50000005, 176223260"
176208520,AUDCAD.c,sell,0.06,4/2/2026 15:45,0.9578,4/3/2026 1:02,0.96194,-0.36,0,-17.85,"copy #50000005, 176208500"
176203486,AUDCAD.c,buy,0.06,4/2/2026 14:30,0.95572,4/2/2026 15:30,0.95729,0,0,6.77,"copy #50000005, 176203422"
176191130,AUDCAD.c,sell,0.06,4/2/2026 11:00,0.95752,4/2/2026 12:15,0.95595,0,0,6.77,"copy #50000005, 176191063"
176176768,AUDCAD.c,buy,1.44,4/2/2026 9:00,0.95604,4/2/2026 10:45,0.95696,0,0,95.2,"copy #50000005, 176176699"
176146633,AUDCAD.c,buy,0.06,4/2/2026 4:30,0.95832,4/2/2026 10:45,0.95705,0,0,-5.48,"copy #50000005, 176146588"
176128728,,balance,,,,4/2/2026 0:18,,0,,-35.82,fee #23728898
176123072,AUDCAD.c,buy,1.44,4/1/2026 21:30,0.96098,4/2/2026 3:45,0.96136,9.33,0,39.43,"copy #50000005, 176122990"
176115685,AUDCAD.c,buy,0.06,4/1/2026 18:30,0.96321,4/2/2026 3:45,0.96137,0.39,0,-7.96,"copy #50000005, 176115644"
176095254,AUDCAD.c,sell,0.06,4/1/2026 14:15,0.9654,4/1/2026 16:00,0.96415,0,0,5.39,"copy #50000005, 176095223"
176083001,AUDCAD.c,sell,1.44,4/1/2026 10:45,0.9647,4/1/2026 11:00,0.96373,0,0,100.45,"copy #50000005, 176082971"
176077815,AUDCAD.c,sell,0.06,4/1/2026 9:45,0.9627,4/1/2026 11:00,0.96349,0,0,-3.41,"copy #50000005, 176077744"
176068543,AUDCAD.c,buy,0.06,4/1/2026 6:15,0.96075,4/1/2026 9:30,0.96197,0,0,5.26,"copy #50000005, 176068464"
176056721,AUDCAD.c,sell,1.44,4/1/2026 3:00,0.9617,4/1/2026 6:00,0.961,0,0,72.52,"copy #50000005, 176056681"
176050250,,balance,,,,4/1/2026 0:18,,0,,-15.97,fee #23727568
176037754,AUDCAD.c,sell,0.06,3/31/2026 19:45,0.95936,4/1/2026 6:00,0.96085,-0.34,0,-6.44,"copy #50000005, 176037643"
176031209,AUDCAD.c,buy,0.06,3/31/2026 18:00,0.95594,3/31/2026 18:15,0.95809,0,0,9.24,"copy #50000005, 176031153"
176016474,AUDCAD.c,sell,1.44,3/31/2026 14:45,0.95906,3/31/2026 15:15,0.95847,0,0,60.99,"copy #50000005, 176016446"
176012865,AUDCAD.c,sell,0.06,3/31/2026 14:15,0.95626,3/31/2026 15:15,0.95838,0,0,-9.13,"copy #50000005, 176012808"
176003800,AUDCAD.c,sell,0.06,3/31/2026 11:00,0.95658,3/31/2026 13:45,0.95548,0,0,4.74,"copy #50000005, 176003705"
175991574,AUDCAD.c,buy,0.06,3/31/2026 6:45,0.9542,3/31/2026 10:45,0.95626,0,0,8.87,"copy #50000005, 175991509"
175980579,AUDCAD.c,sell,0.06,3/31/2026 4:30,0.9559,3/31/2026 6:30,0.95488,0,0,4.39,"copy #50000005, 175980539"
175966777,,balance,,,,3/31/2026 0:34,,0,,-24.96,fee #23724851
175964060,AUDCAD.c,buy,0.06,3/30/2026 22:15,0.95354,3/31/2026 4:00,0.95446,0.12,0,3.96,"copy #50000005, 175963990"
175947567,AUDCAD.c,buy,0.06,3/30/2026 17:00,0.95344,3/30/2026 18:45,0.955,0,0,6.72,"copy #50000005, 175947500"
175941333,AUDCAD.c,sell,1.44,3/30/2026 15:30,0.95503,3/30/2026 16:45,0.95392,0,0,114.76,"copy #50000005, 175941304"
175911568,AUDCAD.c,sell,0.06,3/30/2026 5:45,0.95287,3/30/2026 16:45,0.95385,0,0,-4.22,"copy #50000005, 175911501"
175899625,AUDCAD.c,buy,0.06,3/30/2026 3:15,0.95152,3/30/2026 5:15,0.95244,0,0,3.97,"copy #50000005, 175899580"
175888841,AUDCAD.c,sell,0.06,3/27/2026 23:45,0.95532,3/30/2026 0:55,0.95437,0,0,4.11,"copy #50000005, 175888820"
175889428,,balance,,,,3/28/2026 0:19,,0,,-4.18,fee #23720321
175883204,AUDCAD.c,buy,0.06,3/27/2026 20:30,0.95346,3/27/2026 23:15,0.95441,0,0,4.1,"copy #50000005, 175883167"
175876076,AUDCAD.c,sell,0.06,3/27/2026 18:30,0.95593,3/27/2026 20:16,0.95486,0,0,4.62,"copy #50000005, 175876010"
175849399,AUDCAD.c,buy,0.06,3/27/2026 10:45,0.95388,3/27/2026 11:45,0.95499,0,0,4.81,"copy #50000005, 175849302"
175836692,AUDCAD.c,sell,0.06,3/27/2026 6:30,0.95548,3/27/2026 10:30,0.95433,0,0,4.99,"copy #50000005, 175836643"
175826675,AUDCAD.c,buy,0.06,3/27/2026 3:00,0.95409,3/27/2026 6:15,0.95507,0,0,4.24,"copy #50000005, 175826636"
175822462,,balance,,,,3/27/2026 0:17,,0,,-0.78,fee #23717085
175750446,,balance,,,,3/26/2026 0:17,,0,,-7.33,fee #23715174
175749536,AUDCAD.c,buy,0.06,3/25/2026 23:30,0.95961,3/26/2026 7:15,0.96051,0,0,3.9,"copy #50000005, 175749480"
175734891,AUDCAD.c,sell,0.06,3/25/2026 18:00,0.96086,3/25/2026 22:45,0.9599,0,0,4.17,"copy #50000005, 175734850"
175726169,AUDCAD.c,buy,0.06,3/25/2026 15:45,0.95935,3/25/2026 17:45,0.96037,0,0,4.44,"copy #50000005, 175726124"
175722227,AUDCAD.c,sell,0.06,3/25/2026 14:45,0.96166,3/25/2026 15:30,0.95981,0,0,8.05,"copy #50000005, 175722166"
175714005,AUDCAD.c,sell,0.06,3/25/2026 11:30,0.96199,3/25/2026 12:45,0.96106,0,0,4.05,"copy #50000005, 175713985"
175701093,AUDCAD.c,buy,0.06,3/25/2026 6:30,0.96013,3/25/2026 10:15,0.961,0,0,3.78,"copy #50000005, 175701067"
175681690,,balance,,,,3/25/2026 0:19,,0,,-32.18,fee #23712738
175679611,AUDCAD.c,sell,0.06,3/24/2026 23:30,0.96176,3/25/2026 6:00,0.96046,-0.34,0,5.66,"copy #50000005, 175679530"
175674942,AUDCAD.c,sell,1.44,3/24/2026 22:15,0.9601,3/24/2026 23:00,0.95934,0,0,79.53,"copy #50000005, 175674918"
175656580,AUDCAD.c,sell,0.06,3/24/2026 17:30,0.9574,3/24/2026 23:00,0.95933,0,0,-8.42,"copy #50000005, 175656524"
175647629,AUDCAD.c,buy,1.44,3/24/2026 16:00,0.95633,3/24/2026 17:15,0.95715,0,0,85.95,"copy #50000005, 175647553"
175630132,AUDCAD.c,buy,0.06,3/24/2026 11:30,0.9586,3/24/2026 17:15,0.95723,0,0,-5.98,"copy #50000005, 175630098"
175594451,AUDCAD.c,buy,0.06,3/24/2026 3:45,0.96001,3/24/2026 10:15,0.96173,0,0,7.51,"copy #50000005, 175594420"
175585740,AUDCAD.c,sell,0.06,3/24/2026 1:30,0.96257,3/24/2026 3:15,0.96047,0,0,9.17,"copy #50000005, 175585705"
175582805,,balance,,,,3/24/2026 0:19,,0,,-324.48,fee #23702343
175561754,AUDCAD.c,buy,0.06,3/23/2026 18:45,0.96139,3/23/2026 20:45,0.96242,0,0,4.5,"copy #50000005, 175561732"
175552796,AUDCAD.c,sell,0.06,3/23/2026 17:30,0.96476,3/23/2026 18:30,0.96315,0,0,7.05,"copy #50000005, 175552753"
175501818,AUDCAD.c,buy,1.44,3/23/2026 13:30,0.95218,3/23/2026 14:15,0.96289,0,0,"1,123.75","copy #50000005, 175501781"
175497431,AUDCAD.c,buy,0.06,3/23/2026 12:45,0.9547,3/23/2026 14:15,0.96297,0,0,36.16,"copy #50000005, 175497342"
175462834,AUDCAD.c,buy,2.16,3/23/2026 9:45,0.95522,3/23/2026 11:45,0.95691,0,0,265.82,"copy #50000005, 175462812"
175442471,AUDCAD.c,buy,1.44,3/23/2026 6:15,0.95736,3/23/2026 11:45,0.9569,0,0,-48.24,"copy #50000005, 175442442"
175423378,AUDCAD.c,buy,0.06,3/23/2026 3:45,0.95958,3/23/2026 11:45,0.95699,0,0,-11.32,"copy #50000005, 175423348"
175406119,AUDCAD.c,buy,2.88,3/23/2026 1:00,0.96033,3/23/2026 1:30,0.96185,0,0,318.89,"copy #50000005, 175406090"
175405770,AUDCAD.c,buy,2.16,3/23/2026 0:29,0.96147,3/23/2026 1:30,0.96198,0,0,80.25,"copy #50000005, 175405714"
175397722,AUDCAD.c,buy,1.44,3/20/2026 21:45,0.96295,3/23/2026 1:30,0.96188,0,0,-112.25,"copy #50000005, 175397690"
175390862,AUDCAD.c,buy,0.06,3/20/2026 19:45,0.96553,3/23/2026 1:30,0.96204,0,0,-15.25,"copy #50000005, 175390837"
175404646,,balance,,,,3/21/2026 0:34,,0,,-34.49,fee #23699360
175377294,AUDCAD.c,buy,1.44,3/20/2026 17:15,0.96553,3/20/2026 18:15,0.96685,0,0,138.45,"copy #50000005, 175377252"
175371536,AUDCAD.c,buy,0.06,3/20/2026 16:30,0.9682,3/20/2026 18:15,0.96704,0,0,-5.07,"copy #50000005, 175371504"
175364605,AUDCAD.c,sell,0.06,3/20/2026 14:30,0.97079,3/20/2026 16:15,0.96905,0,0,7.61,"copy #50000005, 175364555"
175357431,AUDCAD.c,buy,0.06,3/20/2026 13:00,0.96943,3/20/2026 14:15,0.97046,0,0,4.5,"copy #50000005, 175357388"
175336992,,balance,,,,3/20/2026 7:19,,0,,"200,000.00",dbu 7226722
174995968,,balance,,,,3/14/2026 11:05,,0,,"-100,000.00",wbu 7136269
174995964,,balance,,,,3/14/2026 10:38,,0,,"-300,000.00",wbu 7136209
174582619,,balance,,,,3/8/2026 5:58,,0,,"167,000.00",dbu 7036476
174110262,,balance,,,,3/3/2026 0:19,,0,,-17.62,fee #23141816
173980208,AUDCAD.c,buy,1.2,3/2/2026 1:01,0.96422,3/2/2026 1:44,0.96545,0,0,107.98,"copy #50000005, 173980172"
173969697,AUDCAD.c,buy,0.05,2/27/2026 18:45,0.97066,3/2/2026 1:44,0.9654,0,0,-19.24,"copy #50000005, 173969522"
173978566,,balance,,,,2/28/2026 16:00,,0,,"87,000.00",dbu 6917243
173978127,,balance,,,,2/28/2026 0:19,,0,,-23.94,fee #23090220
173951928,AUDCAD.c,buy,1.2,2/27/2026 15:30,0.97096,2/27/2026 17:15,0.97156,0,0,52.75,"copy #50000005, 173951721"
173935798,AUDCAD.c,buy,0.05,2/27/2026 10:45,0.9729,2/27/2026 17:15,0.97156,0,0,-4.91,"copy #50000005, 173935631"
173924483,AUDCAD.c,sell,1.2,2/27/2026 7:30,0.97428,2/27/2026 8:30,0.97342,0,0,75.52,"copy #50000005, 173924305"
173907753,,balance,,,,2/27/2026 0:19,,0,,-48.33,fee #23026678
173903454,AUDCAD.c,sell,0.05,2/26/2026 21:15,0.97171,2/27/2026 8:30,0.97343,-0.27,0,-6.29,"copy #50000005, 173903297"
173898680,AUDCAD.c,buy,0.05,2/26/2026 19:30,0.96945,2/26/2026 20:45,0.97116,0,0,6.24,"copy #50000005, 173898490"
