idx,open_dt,close_dt,dir,level,wavg,close_p,total_lots,net_pips,reason,lot_pips,usd
1,2025.01.02 08:15:00,2025.01.02 19:15:00,SHORT,2,0.89499,0.89428,0.25,7.1,tp_10.0_pips,1.778,12.04
2,2025.01.03 00:45:00,2025.01.06 00:15:30,SHORT,3,0.89756,0.89809,0.61,-5.3,tp_10.0_pips,-3.235,-21.91
3,2025.01.06 01:15:00,2025.01.06 04:00:00,SHORT,1,0.89759,0.89687,0.01,7.2,tp_10.0_pips,0.072,0.49
4,2025.01.06 08:45:00,2025.01.06 16:30:00,SHORT,2,0.89937,0.89733,0.25,20.4,tp_10.0_pips,5.095,34.52
5,2025.01.07 02:45:00,2025.01.07 17:15:00,SHORT,2,0.89790,0.89690,0.25,10.0,tp_10.0_pips,2.509,17.00
6,2025.01.08 02:00:00,2025.01.08 02:45:00,SHORT,1,0.89535,0.89433,0.01,10.2,tp_10.0_pips,0.102,0.69
7,2025.01.08 06:00:00,2025.01.08 11:00:00,SHORT,1,0.89412,0.89331,0.01,8.1,tp_10.0_pips,0.081,0.55
8,2025.01.08 16:00:00,2025.01.09 02:45:00,SHORT,1,0.89288,0.89198,0.01,9.0,tp_10.0_pips,0.090,0.61
9,2025.01.09 11:30:00,2025.01.10 06:45:00,SHORT,2,0.89299,0.89227,0.25,7.2,tp_10.0_pips,1.798,12.18
10,2025.01.13 01:45:00,2025.01.13 06:45:00,SHORT,1,0.88721,0.88588,0.01,13.3,tp_10.0_pips,0.133,0.90
11,2025.01.13 09:15:00,2025.01.13 11:30:00,SHORT,1,0.88672,0.88586,0.01,8.6,tp_10.0_pips,0.086,0.58
12,2025.01.13 13:00:00,2025.01.13 14:15:00,SHORT,1,0.88711,0.88625,0.01,8.6,tp_10.0_pips,0.086,0.58
13,2025.01.13 17:45:00,2025.01.14 14:15:00,SHORT,2,0.88908,0.88826,0.25,8.2,tp_10.0_pips,2.042,13.83
14,2025.01.14 16:15:00,2025.01.14 19:00:00,SHORT,1,0.88915,0.88849,0.01,6.6,tp_10.0_pips,0.066,0.45
15,2025.01.14 21:45:00,2025.01.15 02:45:00,SHORT,1,0.88884,0.88799,0.01,8.5,tp_10.0_pips,0.085,0.58
16,2025.01.15 04:45:00,2025.01.16 06:45:00,SHORT,2,0.89158,0.89084,0.25,7.4,tp_10.0_pips,1.848,12.52
17,2025.01.16 09:15:00,2025.01.17 06:45:00,SHORT,2,0.89372,0.89267,0.25,10.5,tp_10.0_pips,2.633,17.84
18,2025.01.17 09:00:00,2025.01.17 15:00:00,SHORT,1,0.89358,0.89289,0.01,6.9,tp_10.0_pips,0.069,0.47
19,2025.01.17 17:00:00,2025.01.22 10:00:00,SHORT,3,0.89814,0.89731,0.61,8.3,tp_10.0_pips,5.090,34.48
20,2025.01.22 10:15:00,2025.01.22 11:00:00,LONG,1,0.89749,0.89866,0.01,11.7,tp_10.0_pips,0.117,0.79
21,2025.01.22 18:15:00,2025.01.22 21:15:00,LONG,1,0.90091,0.90207,0.01,11.6,tp_10.0_pips,0.116,0.79
22,2025.01.23 00:15:00,2025.01.23 12:30:00,LONG,2,0.90064,0.90184,0.25,12.0,tp_10.0_pips,2.993,20.28
