2025.01.02 08:15:00   PROBE_OPEN | SHORT | p=0.89286 | lot=0.01 | gate_l=0 gate_s=1
2025.01.02 11:00:00   ADD | SHORT | p=0.89508 | lot=0.24 | 
2025.01.02 19:15:00   CLOSE_BASKET | SHORT | p=0.89428 | lot=0.25 | reason=tp_10.0_pips net_pips=7.1
2025.01.03 00:45:00   PROBE_OPEN | SHORT | p=0.89382 | lot=0.01 | gate_l=0 gate_s=1
2025.01.03 15:15:00   ADD | SHORT | p=0.89623 | lot=0.24 | 
2025.01.03 21:30:00   ADD | SHORT | p=0.89855 | lot=0.36 | 
2025.01.06 00:15:30   CLOSE_BASKET | SHORT | p=0.89809 | lot=0.61 | reason=tp_10.0_pips net_pips=-5.3
2025.01.06 01:15:00   PROBE_OPEN | SHORT | p=0.89759 | lot=0.01 | gate_l=0 gate_s=1
2025.01.06 04:00:00   CLOSE_BASKET | SHORT | p=0.89687 | lot=0.01 | reason=tp_10.0_pips net_pips=7.2
2025.01.06 08:45:00   PROBE_OPEN | SHORT | p=0.89692 | lot=0.01 | gate_l=0 gate_s=1
2025.01.06 13:30:00   ADD | SHORT | p=0.89947 | lot=0.24 | 
2025.01.06 16:30:00   CLOSE_BASKET | SHORT | p=0.89733 | lot=0.25 | reason=tp_10.0_pips net_pips=20.4
2025.01.07 02:45:00   PROBE_OPEN | SHORT | p=0.89559 | lot=0.01 | gate_l=0 gate_s=1
2025.01.07 10:30:00   ADD | SHORT | p=0.89800 | lot=0.24 | 
2025.01.07 17:15:00   CLOSE_BASKET | SHORT | p=0.89690 | lot=0.25 | reason=tp_10.0_pips net_pips=10.0
2025.01.08 02:00:00   PROBE_OPEN | SHORT | p=0.89535 | lot=0.01 | gate_l=0 gate_s=1
2025.01.08 02:45:00   CLOSE_BASKET | SHORT | p=0.89433 | lot=0.01 | reason=tp_10.0_pips net_pips=10.2
2025.01.08 06:00:00   PROBE_OPEN | SHORT | p=0.89412 | lot=0.01 | gate_l=0 gate_s=1
2025.01.08 11:00:00   CLOSE_BASKET | SHORT | p=0.89331 | lot=0.01 | reason=tp_10.0_pips net_pips=8.1
2025.01.08 16:00:00   PROBE_OPEN | SHORT | p=0.89288 | lot=0.01 | gate_l=0 gate_s=1
2025.01.09 02:45:00   CLOSE_BASKET | SHORT | p=0.89198 | lot=0.01 | reason=tp_10.0_pips net_pips=9.0
2025.01.09 11:30:00   PROBE_OPEN | SHORT | p=0.89081 | lot=0.01 | gate_l=0 gate_s=1
2025.01.10 03:30:00   ADD | SHORT | p=0.89308 | lot=0.24 | 
2025.01.10 06:45:00   CLOSE_BASKET | SHORT | p=0.89227 | lot=0.25 | reason=tp_10.0_pips net_pips=7.2
