idx,open_dt,close_dt,dir,level,base,wavg,close_p,total_lots,net_pips,reason,lot_pips,usd
1,2026.01.02 08:00:00,2026.01.02 09:30:00,SHORT,1,0.06,0.91816,0.91728,0.06,8.8,tp_10.0_pips,0.528,4.63
2,2026.01.02 09:45:00,2026.01.02 13:15:00,SHORT,2,0.06,0.91931,0.91830,1.50,10.1,tp_10.0_pips,15.180,133.15
3,2026.01.02 13:30:00,2026.01.08 16:15:00,SHORT,7,0.06,0.92809,0.92709,19.50,10.0,tp_10.0_pips,194.430,1705.37
4,2026.01.08 16:30:00,2026.01.08 20:00:00,LONG,1,0.06,0.92718,0.92823,0.06,10.5,tp_10.0_pips,0.630,5.53
5,2026.01.08 20:15:00,2026.01.09 09:30:00,SHORT,1,0.06,0.92827,0.92759,0.06,6.8,tp_10.0_pips,0.408,3.58
6,2026.01.09 09:45:00,2026.01.09 15:45:00,LONG,1,0.06,0.92735,0.92934,0.06,19.9,tp_10.0_pips,1.194,10.47
7,2026.01.09 16:00:00,2026.01.09 17:15:00,SHORT,1,0.06,0.92820,0.92677,0.06,14.3,tp_10.0_pips,0.858,7.53
8,2026.01.09 19:15:00,2026.01.13 12:45:00,SHORT,2,0.06,0.93070,0.92998,1.50,7.2,tp_10.0_pips,10.824,94.94
9,2026.01.13 13:00:00,2026.01.14 04:30:00,LONG,2,0.06,0.92803,0.92908,1.50,10.5,tp_10.0_pips,15.822,138.78
10,2026.01.14 04:45:00,2026.01.14 12:45:00,SHORT,1,0.06,0.92924,0.92849,0.06,7.5,tp_10.0_pips,0.450,3.95
11,2026.01.14 13:00:00,2026.01.14 17:15:00,LONG,2,0.06,0.92655,0.92771,1.50,11.6,tp_10.0_pips,17.400,152.62
12,2026.01.14 19:00:00,2026.01.14 23:00:00,LONG,1,0.06,0.92649,0.92789,0.06,14.0,tp_10.0_pips,0.840,7.37
13,2026.01.14 23:15:00,2026.01.15 00:15:00,SHORT,1,0.06,0.92789,0.92792,0.06,-0.3,tp_10.0_pips,-0.018,-0.16
14,2026.01.15 00:30:00,2026.01.15 09:45:00,LONG,1,0.06,0.92762,0.92873,0.06,11.1,tp_10.0_pips,0.666,5.84
15,2026.01.15 10:00:00,2026.01.15 15:00:00,SHORT,2,0.06,0.93074,0.93003,1.50,7.1,tp_10.0_pips,10.662,93.52
16,2026.01.15 15:15:00,2026.01.15 18:15:00,LONG,1,0.06,0.92948,0.93127,0.06,17.9,tp_10.0_pips,1.074,9.42
17,2026.01.15 18:30:00,2026.01.15 22:30:00,SHORT,1,0.06,0.93150,0.93063,0.06,8.7,tp_10.0_pips,0.522,4.58
18,2026.01.15 22:45:00,2026.01.19 07:30:00,LONG,2,0.06,0.92935,0.93038,1.50,10.3,tp_10.0_pips,15.420,135.25
19,2026.01.19 07:45:00,2026.01.20 11:15:00,SHORT,2,0.06,0.93237,0.93087,1.50,15.0,tp_10.0_pips,22.494,197.30
20,2026.01.20 11:30:00,2026.01.20 18:00:00,LONG,1,0.06,0.93084,0.93216,0.06,13.2,tp_10.0_pips,0.792,6.95
21,2026.01.20 18:15:00,2026.01.20 20:45:00,SHORT,1,0.06,0.93237,0.93146,0.06,9.1,tp_10.0_pips,0.546,4.79
22,2026.01.20 21:00:00,2026.01.21 08:45:00,LONG,1,0.06,0.93154,0.93272,0.06,11.8,tp_10.0_pips,0.708,6.21
23,2026.01.21 09:00:00,2026.01.29 06:06:40,SHORT,8,0.06,0.94864,0.95733,25.26,-86.9,emergency_dd,-2193.840,-19242.45
24,2026.01.29 06:15:00,2026.01.29 09:30:00,SHORT,1,0.05,0.95725,0.95657,0.05,6.8,tp_10.0_pips,0.340,2.98
25,2026.01.29 09:45:00,2026.01.29 15:15:00,LONG,2,0.05,0.95392,0.95492,1.25,10.0,tp_10.0_pips,12.465,109.33
26,2026.01.29 16:00:00,2026.01.29 17:00:00,SHORT,1,0.05,0.95496,0.95344,0.05,15.2,tp_10.0_pips,0.760,6.67
27,2026.01.29 17:15:00,2026.01.29 19:15:00,LONG,2,0.05,0.94714,0.94860,1.25,14.6,tp_10.0_pips,18.225,159.85
28,2026.01.29 20:00:00,2026.01.29 22:45:00,LONG,1,0.05,0.94859,0.94959,0.05,10.0,tp_10.0_pips,0.500,4.39
29,2026.01.29 23:00:00,2026.01.30 03:15:00,SHORT,1,0.05,0.95013,0.94855,0.05,15.8,tp_10.0_pips,0.790,6.93
30,2026.01.30 03:30:00,2026.01.30 05:00:00,LONG,2,0.05,0.94580,0.94694,1.25,11.4,tp_10.0_pips,14.250,124.99
31,2026.01.30 05:15:00,2026.01.30 10:15:00,LONG,2,0.05,0.94490,0.94595,1.25,10.5,tp_10.0_pips,13.145,115.30
32,2026.01.30 10:30:00,2026.01.30 12:00:00,SHORT,1,0.05,0.94648,0.94505,0.05,14.3,tp_10.0_pips,0.715,6.27
33,2026.01.30 12:15:00,2026.01.30 16:00:00,SHORT,2,0.05,0.94880,0.94713,1.25,16.7,tp_10.0_pips,20.840,182.79
34,2026.01.30 17:45:00,2026.01.30 18:00:00,SHORT,1,0.05,0.94966,0.94871,0.05,9.5,tp_10.0_pips,0.475,4.17
35,2026.01.30 18:15:00,2026.01.30 19:15:00,SHORT,1,0.05,0.94846,0.94687,0.05,15.9,tp_10.0_pips,0.795,6.97
36,2026.01.30 19:30:00,2026.01.30 21:00:00,LONG,2,0.05,0.94560,0.94731,1.25,17.1,tp_10.0_pips,21.425,187.92
37,2026.01.30 21:45:00,2026.02.02 00:15:00,SHORT,1,0.05,0.94768,0.94784,0.05,-1.6,tp_10.0_pips,-0.080,-0.70
38,2026.02.02 00:30:00,2026.02.02 01:15:00,LONG,2,0.05,0.94441,0.94590,1.25,14.9,tp_10.0_pips,18.605,163.19
39,2026.02.02 01:45:00,2026.02.02 07:30:00,SHORT,1,0.05,0.94720,0.94608,0.05,11.2,tp_10.0_pips,0.560,4.91
40,2026.02.02 07:45:00,2026.02.02 09:30:00,LONG,1,0.05,0.94620,0.94721,0.05,10.1,tp_10.0_pips,0.505,4.43
41,2026.02.02 09:45:00,2026.02.02 12:45:00,SHORT,2,0.05,0.94933,0.94802,1.25,13.1,tp_10.0_pips,16.395,143.80
42,2026.02.02 16:15:00,2026.02.02 20:15:00,SHORT,2,0.05,0.95200,0.95128,1.25,7.2,tp_10.0_pips,9.035,79.25
43,2026.02.02 20:45:00,2026.02.03 02:30:00,LONG,1,0.05,0.95029,0.95183,0.05,15.4,tp_10.0_pips,0.770,6.75
44,2026.02.03 02:45:00,2026.02.03 11:30:00,SHORT,3,0.05,0.96013,0.95894,3.05,11.9,tp_10.0_pips,36.365,318.96
45,2026.02.03 11:45:00,2026.02.03 12:45:00,SHORT,1,0.05,0.95914,0.95844,0.05,7.0,tp_10.0_pips,0.350,3.07
46,2026.02.03 13:00:00,2026.02.03 18:00:00,LONG,2,0.05,0.95592,0.95735,1.25,14.3,tp_10.0_pips,17.840,156.48
47,2026.02.03 18:15:00,2026.02.03 20:45:00,SHORT,1,0.05,0.95724,0.95650,0.05,7.4,tp_10.0_pips,0.370,3.25
48,2026.02.03 21:00:00,2026.02.03 23:00:00,LONG,1,0.05,0.95581,0.95727,0.05,14.6,tp_10.0_pips,0.730,6.40
49,2026.02.03 23:15:00,2026.02.04 00:15:00,SHORT,1,0.05,0.95766,0.95768,0.05,-0.2,tp_10.0_pips,-0.010,-0.09
50,2026.02.04 02:00:00,2026.02.04 18:00:00,SHORT,1,0.05,0.95772,0.95691,0.05,8.1,tp_10.0_pips,0.405,3.55
51,2026.02.04 18:15:00,2026.02.04 21:45:00,LONG,2,0.05,0.95417,0.95548,1.25,13.1,tp_10.0_pips,16.385,143.71
