2026.01.02 08:00:00   PROBE_OPEN | SHORT | p=0.91816 | lot=0.06 | gate_l=1 gate_s=1 base=0.06 wc_pct=19.51
2026.01.02 09:30:00   CLOSE_BASKET | SHORT | p=0.91728 | lot=0.06 | reason=tp_10.0_pips net_pips=8.8
2026.01.02 09:45:00   PROBE_OPEN | SHORT | p=0.91696 | lot=0.06 | gate_l=1 gate_s=1 base=0.06 wc_pct=19.51
2026.01.02 11:15:00   ADD | SHORT | p=0.91941 | lot=1.44 | 
2026.01.02 13:15:00   CLOSE_BASKET | SHORT | p=0.91830 | lot=1.50 | reason=tp_10.0_pips net_pips=10.1
2026.01.02 13:30:00   PROBE_OPEN | SHORT | p=0.91814 | lot=0.06 | gate_l=1 gate_s=1 base=0.06 wc_pct=19.49
2026.01.05 15:30:00   ADD | SHORT | p=0.92042 | lot=1.44 | 
2026.01.05 18:15:00   ADD | SHORT | p=0.92286 | lot=2.16 | 
2026.01.06 06:00:00   ADD | SHORT | p=0.92517 | lot=2.88 | 
2026.01.06 18:00:00   ADD | SHORT | p=0.92756 | lot=3.60 | 
2026.01.06 22:45:00   ADD | SHORT | p=0.93014 | lot=4.32 | 
2026.01.07 05:30:00   ADD | SHORT | p=0.93292 | lot=5.04 | 
2026.01.08 16:15:00   CLOSE_BASKET | SHORT | p=0.92709 | lot=19.50 | reason=tp_10.0_pips net_pips=10.0
2026.01.08 16:30:00   PROBE_OPEN | LONG | p=0.92718 | lot=0.06 | gate_l=1 gate_s=1 base=0.06 wc_pct=19.32
2026.01.08 20:00:00   CLOSE_BASKET | LONG | p=0.92823 | lot=0.06 | reason=tp_10.0_pips net_pips=10.5
2026.01.08 20:15:00   PROBE_OPEN | SHORT | p=0.92827 | lot=0.06 | gate_l=1 gate_s=1 base=0.06 wc_pct=19.32
2026.01.09 09:30:00   CLOSE_BASKET | SHORT | p=0.92759 | lot=0.06 | reason=tp_10.0_pips net_pips=6.8
2026.01.09 09:45:00   PROBE_OPEN | LONG | p=0.92735 | lot=0.06 | gate_l=1 gate_s=1 base=0.06 wc_pct=19.32
2026.01.09 15:45:00   CLOSE_BASKET | LONG | p=0.92934 | lot=0.06 | reason=tp_10.0_pips net_pips=19.9
2026.01.09 16:00:00   PROBE_OPEN | SHORT | p=0.92820 | lot=0.06 | gate_l=1 gate_s=1 base=0.06 wc_pct=19.32
2026.01.09 17:15:00   CLOSE_BASKET | SHORT | p=0.92677 | lot=0.06 | reason=tp_10.0_pips net_pips=14.3
2026.01.09 19:15:00   PROBE_OPEN | SHORT | p=0.92858 | lot=0.06 | gate_l=1 gate_s=1 base=0.06 wc_pct=19.32
2026.01.12 02:15:00   ADD | SHORT | p=0.93079 | lot=1.44 | 
2026.01.13 12:45:00   CLOSE_BASKET | SHORT | p=0.92998 | lot=1.50 | reason=tp_10.0_pips net_pips=7.2
2026.01.13 13:00:00   PROBE_OPEN | LONG | p=0.93007 | lot=0.06 | gate_l=1 gate_s=1 base=0.06 wc_pct=19.31
2026.01.13 17:45:00   ADD | LONG | p=0.92794 | lot=1.44 | 
2026.01.14 04:30:00   CLOSE_BASKET | LONG | p=0.92908 | lot=1.50 | reason=tp_10.0_pips net_pips=10.5
2026.01.14 04:45:00   PROBE_OPEN | SHORT | p=0.92924 | lot=0.06 | gate_l=1 gate_s=1 base=0.06 wc_pct=19.28
2026.01.14 12:45:00   CLOSE_BASKET | SHORT | p=0.92849 | lot=0.06 | reason=tp_10.0_pips net_pips=7.5
2026.01.14 13:00:00   PROBE_OPEN | LONG | p=0.92847 | lot=0.06 | gate_l=1 gate_s=1 base=0.06 wc_pct=19.28
2026.01.14 15:15:00   ADD | LONG | p=0.92647 | lot=1.44 | 
2026.01.14 17:15:00   CLOSE_BASKET | LONG | p=0.92771 | lot=1.50 | reason=tp_10.0_pips net_pips=11.6
2026.01.14 19:00:00   PROBE_OPEN | LONG | p=0.92649 | lot=0.06 | gate_l=1 gate_s=1 base=0.06 wc_pct=19.26
2026.01.14 23:00:00   CLOSE_BASKET | LONG | p=0.92789 | lot=0.06 | reason=tp_10.0_pips net_pips=14.0
2026.01.14 23:15:00   PROBE_OPEN | SHORT | p=0.92789 | lot=0.06 | gate_l=1 gate_s=1 base=0.06 wc_pct=19.26
2026.01.15 00:15:00   CLOSE_BASKET | SHORT | p=0.92792 | lot=0.06 | reason=tp_10.0_pips net_pips=-0.3
2026.01.15 00:30:00   PROBE_OPEN | LONG | p=0.92762 | lot=0.06 | gate_l=1 gate_s=1 base=0.06 wc_pct=19.26
2026.01.15 09:45:00   CLOSE_BASKET | LONG | p=0.92873 | lot=0.06 | reason=tp_10.0_pips net_pips=11.1
2026.01.15 10:00:00   PROBE_OPEN | SHORT | p=0.92860 | lot=0.06 | gate_l=1 gate_s=1 base=0.06 wc_pct=19.26
2026.01.15 11:30:00   ADD | SHORT | p=0.93083 | lot=1.44 | 
